# SPDX-FileCopyrightText: 2026 Przunk
# SPDX-License-Identifier: GPL-3.0-or-later
#
# Every third-party component the app and the web page ship, and the files that carry its licence.
#
# **The last column says which build carries it**: `app`, `web`, or both. One table for the two,
# because the decoders are the same code in both and two tables would drift apart version by
# version (`docs/PLAN_WEB_PARITY.md` W-D1). The page's engine has no UADE and none of Android; the
# app has no Emscripten runtime and no QR library of the page's.
#
# **Read at build time and at run time, and nowhere else.** `app/build.gradle.kts` copies the listed
# files into the APK's assets under `notices/<id>/`, and the Settings screen "Open-source licences"
# shows them -- so the text a user reads is the text that came with the code, not a retelling of it.
# BSD, MIT and Apache ask for exactly that: the notice reproduced with the binary.
#
# `NoticesCoverTheBuildTest` fails when a decoder is built by `native/CMakeLists.txt` and has no `app`
# row here, and when a listed file does not exist; `scripts/check-page.mjs` fails when the web engine
# links something with no `web` row. `scripts/stage-web-legal.mjs` copies the `web` rows beside the
# page's engine.
#
# id	name	version	licence	files, comma-separated, relative to the repository	builds
protracktor	Protracktor	—	GPL-3.0-or-later	LICENSE	app,web
libopenmpt	libopenmpt	0.8.9	BSD-3-Clause	native/vendor/libopenmpt/LICENSE	app,web
sc68	sc68	3.0.0b (SVN r713)	GPL-3.0-or-later	native/vendor/sc68-3/COPYING,native/vendor/sc68-3/AUTHORS	app,web
sidplayfp	libsidplayfp	3.1.1	GPL-2.0-or-later	native/vendor/sidplayfp/COPYING,native/vendor/sidplayfp/AUTHORS.md	app,web
gme	Game_Music_Emu	0.6.5	LGPL-2.1-or-later	native/vendor/gme/license.txt	app,web
asap	ASAP	8.0.0	GPL-2.0-or-later	native/vendor/asap/COPYING	app,web
hively	HivelyTracker	1.9	BSD-3-Clause	native/vendor/hively/LICENSE	app,web
minimp3	minimp3	ea99364	CC0-1.0	native/vendor/minimp3/LICENSE	app,web
zxtune	ZXTune	c93e81d	LGPL-3.0	native/vendor/zxtune/LICENSE.md	app,web
fmt	{fmt}, as used by ZXTune	bundled with ZXTune	MIT	native/vendor/zxtune/3rdparty/fmt/LICENSE.rst	app,web
lhasa	lhasa	0.6.0	ISC	native/vendor/lhasa/COPYING.md,native/vendor/lhasa/AUTHORS	app,web
uade	UADE	3.05	GPL (UAE) and LGPL (libuade, score)	native/vendor/uade/COPYING,native/vendor/uade/AUTHORS,native/vendor/uade/COPYING.GPL,native/vendor/uade/COPYING.LGPL	app
bencodetools	bencodetools	5fa73d3	BSD-2-Clause and BSD-3-Clause	native/vendor/bencodetools/LICENSE,native/vendor/bencodetools/LICENSE.bencode	app
libzakalwe	libzakalwe	080b054	BSD-2-Clause	native/vendor/libzakalwe/COPYING,app/notices/openbsd-tree.txt	app
oboe	Oboe	1.10.0	Apache-2.0	app/notices/Apache-2.0.txt	app
androidx	AndroidX, Jetpack Compose and CameraX	Compose BOM 2024.12.01	Apache-2.0	app/notices/Apache-2.0.txt	app
kotlin	Kotlin standard library and kotlinx.coroutines	2.4.0	Apache-2.0	app/notices/Apache-2.0.txt	app
zxing	ZXing core	3.5.3	Apache-2.0	app/notices/Apache-2.0.txt	app
emscripten	Emscripten runtime, musl libc and libc++, compiled into the web engine	4.0.14	MIT or NCSA (Emscripten), MIT (musl), Apache-2.0 with LLVM exception (libc++)	web/notices/emscripten-LICENSE.txt,web/notices/musl-COPYRIGHT.txt,web/notices/libcxx-LICENSE.txt	web
zlib	zlib, as Emscripten's port	1.3.1	Zlib	web/notices/zlib-LICENSE.txt	web
qrcode	QR Code Generator for JavaScript (qrcode-generator)	2.0.4	MIT	web/notices/qrcode-MIT.txt	web
