# B36 step 1: Modland's tunes with no length from any source. Seed 1, 20 per directory (150 for NSF), index and databases as fetched 2026-09-23. Engine: openmpt:0.8.9+r25652.pkg;sc68:sc68 3.0.0b;asap:8.0.0;gme:0.6.5;sidplayfp:3.1.1;minimp3:ea99364;uade:none; ZXTune via native/probe/zxtune/build/probe-zxtune; SPC 300
format	decoder	files	sampled	refused	from_file	from_hvsc	from_songdb	no_length	est_files_without_length	commonest_file_length_s	times
Protracker	openmpt	80716	20	0	20	0	0	0	0	83	2
HVSC	sidplayfp	61157	20	1	0	19	0	0	0	0	0
Fasttracker 2	openmpt	44269	20	0	20	0	0	0	0	245	2
Nintendo SPC	gme	36903	300	0	272	0	0	28	3444	1	12
Impulsetracker	openmpt	25570	20	0	20	0	0	0	0	211	2
Video Game Music	gme	14168	20	0	20	0	0	0	0	3	2
Screamtracker 3	openmpt	11186	20	0	20	0	0	0	0	290	1
Spectrum/Pro Tracker 3	zxtune	7376	20	0	20	0	0	0	0	69	1
Spectrum/Pro Tracker 2	zxtune	6245	20	0	20	0	0	0	0	162	2
SNDH	sc68	5484	20	0	20	0	0	0	0	215	1
Nintendo Sound Format	gme	5015	150	1	47	0	0	102	3433	23	2
YM	zxtune	4962	20	0	20	0	0	0	0	61	2
Spectrum/ST Song Compiler	zxtune	3639	20	1	19	0	0	0	0	222	2
RealSID	sidplayfp	3540	20	2	0	14	0	4	787	0	0
Slight Atari Player	asap	3230	20	2	17	0	0	1	179	39	2
OctaMED MMD1	openmpt	2728	20	0	20	0	0	0	0	287	1
Fasttracker	openmpt	2036	20	0	20	0	0	0	0	31	1
Soundtracker	openmpt	1935	20	0	20	0	0	0	0	238	2
Deflemask	openmpt	1807	20	20	0	0	0	0	all refused		
FamiTracker	openmpt	1779	20	20	0	0	0	0	all refused		
SC68	sc68	1775	20	0	20	0	0	0	0	139	1
Spectrum/ASC Sound Master	zxtune	1706	20	0	20	0	0	0	0	153	2
OctaMED MMD0	openmpt	1441	20	0	20	0	0	0	0	307	2
AHX	hively	1390	20	0	20	0	0	0	0	13	3
Gameboy Sound System	gme	918	20	0	6	0	0	14	643	3	1
